Entry	Entry name	Protein names	Gene names  (primary )	Status
P0A9U4	YBIT_ECOL6	Probable ATP-binding protein YbiT	ybiT	reviewed
A0A0H2VBH0	YHES_ECOL6	Probable ATP-binding protein YheS	yheS	reviewed
P33941	YOJI_ECOLI	ABC transporter ATP-binding/permease protein YojI	yojI	reviewed
Q0TD49	UPPP_ECOL5	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
P0A8V2	RPOB_ECOLI	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	reviewed
P0AG55	RL6_ECOLI	50S ribosomal protein L6 (Large ribosomal subunit protein uL6)	rplF	reviewed
B1XG62	UPPP_ECODH	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
P0A8T7	RPOC_ECOLI	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	reviewed
P02982	TCR1_ECOLX	Tetracycline resistance protein, class A (TetA(A))	tetA	reviewed
B7MAD4	UPPP_ECO45	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
P33787	TRAM7_ECOLX	Relaxosome protein TraM	traM	reviewed
P0A9U3	YBIT_ECOLI	Probable ATP-binding protein YbiT	ybiT	reviewed
P33229	RALR_ECOLI	Endodeoxyribonuclease toxin RalR (DNase RalR) (EC 3.1.-.-) (Restriction alleviation and modification enhancement protein) (Toxin RalR)	ralR	reviewed
P00956	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS	reviewed
P25396	TEHA_ECOLI	Tellurite resistance protein TehA	tehA	reviewed
P22706	TRAI2_ECOLX	Multifunctional conjugation protein TraI [Includes: DNA relaxase TraI (EC 5.6.2.1) (DNA nickase TraI) (Transesterase TraI); DNA helicase I (EC 3.6.4.12)]	traI	reviewed
P02919	PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB	reviewed
P36979	RLMN_ECOLI	Dual-specificity RNA methyltransferase RlmN (EC 2.1.1.192) (23S rRNA (adenine(2503)-C(2))-methyltransferase) (23S rRNA m2A2503 methyltransferase) (Ribosomal RNA large subunit methyltransferase N) (tRNA (adenine(37)-C(2))-methyltransferase) (tRNA m2A37 methyltransferase)	rlmN	reviewed
P0AG63	RS17_ECOLI	30S ribosomal protein S17 (Small ribosomal subunit protein uS17)	rpsQ	reviewed
P43672	UUP_ECOLI	ATP-binding protein Uup (EC 3.6.1.-)	uup	reviewed
P14499	X191_ECOLX	X polypeptide (ORF 19) (ORF169) (P19 protein)	X	reviewed
P21337	TETR5_ECOLX	Tetracycline repressor protein class E	tetR	reviewed
P18808	TRAM6_ECOLX	Relaxosome protein TraM	traM	reviewed
A1AFX9	UPPP_ECOK1	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	reviewed
