Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent	Virus hosts
1005443		Escherichia coli 0.1197						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005442		Escherichia coli 0.1288				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005441		Escherichia coli 0.1304				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005566		Escherichia coli 07798						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1081888		Escherichia coli 08BKT055439			Escherichia coli str. 08BKT055439; Escherichia coli strain 08BKT055439			Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1081895		Escherichia coli 08BKT77219			Escherichia coli str. 08BKT77219; Escherichia coli strain 08BKT77219			Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1081894		Escherichia coli 09BKT024447			Escherichia coli str. 09BKT024447; Escherichia coli strain 09BKT024447			Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1081889		Escherichia coli 09BKT076207			Escherichia coli str. 09BKT076207; Escherichia coli strain 09BKT076207			Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1081887		Escherichia coli 09BKT078844			Escherichia coli str. 09BKT078844; Escherichia coli strain 09BKT078844	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1450427		Escherichia coli 100329						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005468		Escherichia coli 10.0562						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005444		Escherichia coli 1.0080						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005469		Escherichia coli 10.0821				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005466		Escherichia coli 10.0833				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1005467		Escherichia coli 10.0869				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
358709		Escherichia coli 101-1			Escherichia coli str. 101-1; Escherichia coli strain 101-1	annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1450428		Escherichia coli 102651						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1450429		Escherichia coli 102712						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1450430		Escherichia coli 103385						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1450431		Escherichia coli 103573						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1411693		Escherichia coli 1047						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1455600		Escherichia coli 10810						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1268975		Escherichia coli 110957						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444049		Escherichia coli 1-110-08_S1_C1						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444077		Escherichia coli 1-110-08_S1_C2						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444104		Escherichia coli 1-110-08_S1_C3						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444132		Escherichia coli 1-110-08_S3_C1						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444160		Escherichia coli 1-110-08_S3_C2						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444190		Escherichia coli 1-110-08_S3_C3						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444215		Escherichia coli 1-110-08_S4_C1						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444243		Escherichia coli 1-110-08_S4_C2						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1444272		Escherichia coli 1-110-08_S4_C3						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1455599		Escherichia coli 11117						Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1333587		Escherichia coli 112469215-isolate1				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1333588		Escherichia coli 112469218-isolate1				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
1268976		Escherichia coli 113290				annotated		Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	562	
