"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","label","MCODE::Clusters (1)","MCODE::Node Status (1)","MCODE::Score (1)","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.0","1.0","1.0","21","1","false","rplO","Cluster 0","Seed","21.0","rplO","21.0","0","21","0","1.0","true","0","rplO","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsE","Cluster 0","Clustered","21.0","rpsE","21.0","0","21","0","1.0","true","0","rpsE","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplR","Cluster 0","Clustered","21.0","rplR","21.0","0","21","0","1.0","true","0","rplR","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplF","Cluster 0","Clustered","21.0","rplF","21.0","0","21","0","1.0","true","0","rplF","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsH","Cluster 0","Clustered","21.0","rpsH","21.0","0","21","0","1.0","true","0","rpsH","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsN","Cluster 0","Clustered","21.0","rpsN","21.0","0","21","0","1.0","true","0","rpsN","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplE","Cluster 0","Clustered","21.0","rplE","21.0","0","21","0","1.0","true","0","rplE","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplX","Cluster 0","Clustered","21.0","rplX","21.0","0","21","0","1.0","true","0","rplX","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplN","Cluster 0","Clustered","21.0","rplN","21.0","0","21","0","1.0","true","0","rplN","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsQ","Cluster 0","Clustered","21.0","rpsQ","21.0","0","21","0","1.0","true","0","rpsQ","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpmC","Cluster 0","Clustered","21.0","rpmC","21.0","0","21","0","1.0","true","0","rpmC","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplP","Cluster 0","Clustered","21.0","rplP","21.0","0","21","0","1.0","true","0","rplP","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsC","Cluster 0","Clustered","21.0","rpsC","21.0","0","21","0","1.0","true","0","rpsC","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplV","Cluster 0","Clustered","21.0","rplV","21.0","0","21","0","1.0","true","0","rplV","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsS","Cluster 0","Clustered","21.0","rpsS","21.0","0","21","0","1.0","true","0","rpsS","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplB","Cluster 0","Clustered","21.0","rplB","21.0","0","21","0","1.0","true","0","rplB","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplW","Cluster 0","Clustered","21.0","rplW","21.0","0","21","0","1.0","true","0","rplW","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplD","Cluster 0","Clustered","21.0","rplD","21.0","0","21","0","1.0","true","0","rplD","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rplC","Cluster 0","Clustered","21.0","rplC","21.0","0","21","0","1.0","true","0","rplC","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpsJ","Cluster 0","Clustered","21.0","rpsJ","21.0","0","21","0","1.0","true","0","rpsJ","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpLT","Cluster 0","Clustered","21.0","rpLT","21.0","0","21","0","1.0","true","0","rpLT","0","1.0"
"1.0","0.0","1.0","1.0","21","1","false","rpmI","Cluster 0","Clustered","21.0","rpmI","21.0","0","21","0","1.0","true","0","rpmI","0","1.0"
