Entry	Entry name	Protein names	Gene names  (primary )	Status
D7XRG8	D7XRG8_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (Fragment)		unreviewed
D7XL71	D7XL71_ECOLX	UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase (EC 2.6.1.87) (UDP-(beta-L-threo-pentapyranosyl-4''-ulose diphosphate) aminotransferase) (UDP-Ara4O aminotransferase) (UDP-4-amino-4-deoxy-L-arabinose aminotransferase)	arnB	unreviewed
D7XWC5	D7XWC5_ECOLX	DD-transpeptidase (EC 2.4.1.129) (EC 3.4.16.4) (Penicillin-binding protein 1A) (Penicillin-insensitive transglycosylase) (Penicillin-sensitive transpeptidase) (Peptidoglycan TGase)		unreviewed
D7XHZ2	D7XHZ2_ECOLX	Multidrug resistance protein MdtG	mdtG	unreviewed
D7XPF3	D7XPF3_ECOLX	Transporter, major facilitator family protein		unreviewed
D7XI05	D7XI05_ECOLX	Multidrug resistance protein MdtH	mdtH	unreviewed
D7XHW4	D7XHW4_ECOLX	ABC transporter, ATP-binding protein		unreviewed
D7XLM7	D7XLM7_ECOLX	Multiple antibiotic resistance protein MarA	marA	unreviewed
D7XQ38	D7XQ38_ECOLX	ABC transporter, ATP-binding protein		unreviewed
D7XRG9	D7XRG9_ECOLX	Aminoglycoside/hydroxyurea antibiotic resistance kinase		unreviewed
D7XL73	D7XL73_ECOLX	Bifunctional polymyxin resistance protein ArnA [Includes: UDP-4-amino-4-deoxy-L-arabinose formyltransferase (EC 2.1.2.13) (ArnAFT) (UDP-L-Ara4N formyltransferase); UDP-glucuronic acid oxidase, UDP-4-keto-hexauronic acid decarboxylating (EC 1.1.1.305) (ArnADH) (UDP-GlcUA decarboxylase) (UDP-glucuronic acid dehydrogenase)]	arnA	unreviewed
D7XL74	D7XL74_ECOLX	Probable 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD (EC 3.5.1.n3)	arnD	unreviewed
D7XPK2	D7XPK2_ECOLX	Beta-lactamase (EC 3.5.2.6)		unreviewed
D7XLM8	D7XLM8_ECOLX	Multiple antibiotic resistance protein MarR	marR	unreviewed
D7XL72	D7XL72_ECOLX	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase (EC 2.4.2.53) (Undecaprenyl-phosphate Ara4FN transferase) (Ara4FN transferase)	arnC	unreviewed
D7XPF2	D7XPF2_ECOLX	Transcriptional regulator, TetR family		unreviewed
D7XSC4	D7XSC4_ECOLX	Beta-lactamase (EC 3.5.2.6) (Fragment)		unreviewed
D7XLM6	D7XLM6_ECOLX	Putative multiple antibiotic resistance protein MarB		unreviewed
D7XST9	D7XST9_ECOLX	Nucleotidyltransferase domain protein (Fragment)		unreviewed
D7XV50	D7XV50_ECOLX	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ	unreviewed
D7XQA4	D7XQA4_ECOLX	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95)		unreviewed
D7XJH3	D7XJH3_ECOLX	Multidrug resistance protein MdtL	mdtL	unreviewed
D7XRV4	D7XRV4_ECOLX	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	unreviewed
